profile_id,mechanism,first_best_welfare,reported_first_best_welfare,welfare,regret,rounding_regret,budget_imbalance
0,equal_split_first_best,0.0,0.0,0.0,0.0,0.0,0.0
0,equal_split_vickrey_majority,0.0,0.0,0.0,0.0,0.0,0.0
0,equal_split_vickrey_faltings_fair,0.0,0.0,0.0,0.0,0.0,0.0
0,lp_demand_vickrey_coarse,0.0,0.0,0.0,0.0,0.0,0.0
0,lp_demand_vickrey_fine,0.0,0.0,0.0,0.0,0.0,0.0
0,lp_integrated_supply_demand,0.0,0.0,0.0,0.0,0.0,0.0
1,equal_split_first_best,0.0,0.0,0.0,0.0,0.0,0.0
1,equal_split_vickrey_majority,0.0,0.0,0.0,0.0,0.0,0.0
1,equal_split_vickrey_faltings_fair,0.0,0.0,0.0,0.0,0.0,0.0
1,lp_demand_vickrey_coarse,0.0,0.0,0.0,0.0,0.0,0.0
1,lp_demand_vickrey_fine,0.0,0.0,0.0,0.0,0.0,0.0
1,lp_integrated_supply_demand,0.0,0.0,0.0,0.0,0.0,0.0
2,equal_split_first_best,0.0,0.0,0.0,0.0,0.0,0.0
2,equal_split_vickrey_majority,0.0,0.0,0.0,0.0,0.0,0.0
2,equal_split_vickrey_faltings_fair,0.0,0.0,0.0,0.0,0.0,0.0
2,lp_demand_vickrey_coarse,0.0,0.0,0.0,0.0,0.0,0.0
2,lp_demand_vickrey_fine,0.0,0.0,0.0,0.0,0.0,0.0
2,lp_integrated_supply_demand,0.0,0.0,0.0,0.0,0.0,0.0
3,equal_split_first_best,0.0,0.0,0.0,0.0,0.0,0.0
3,equal_split_vickrey_majority,0.0,0.0,0.0,0.0,0.0,0.0
3,equal_split_vickrey_faltings_fair,0.0,0.0,0.0,0.0,0.0,0.0
3,lp_demand_vickrey_coarse,0.0,0.0,0.0,0.0,0.0,0.0
3,lp_demand_vickrey_fine,0.0,0.0,0.0,0.0,0.0,0.0
3,lp_integrated_supply_demand,0.0,0.0,0.0,0.0,0.0,0.0
4,equal_split_first_best,15.0,15.0,15.0,0.0,0.0,0.0
4,equal_split_vickrey_majority,15.0,15.0,15.0,0.0,0.0,0.0
4,equal_split_vickrey_faltings_fair,15.0,15.0,15.0,0.0,0.0,0.0
4,lp_demand_vickrey_coarse,15.0,15.0,15.0,0.0,0.0,0.0
4,lp_demand_vickrey_fine,15.0,15.0,15.0,0.0,0.0,0.0
4,lp_integrated_supply_demand,15.0,15.0,15.0,0.0,0.0,5.120764979586087e-23
5,equal_split_first_best,15.0,15.0,15.0,0.0,0.0,0.0
5,equal_split_vickrey_majority,15.0,15.0,15.0,0.0,0.0,0.0
5,equal_split_vickrey_faltings_fair,15.0,15.0,15.0,0.0,0.0,0.0
5,lp_demand_vickrey_coarse,15.0,15.0,15.0,0.0,0.0,0.0
5,lp_demand_vickrey_fine,15.0,15.0,15.0,0.0,0.0,0.0
