scenario_id,chore,roommate,wtp_dollars,bid_dollars,grid_wtp,grid_bid,fine_demand_grid_wtp
0,kitchen_surfaces,1,14.79,11.58,15.0,15.0,15.0
0,kitchen_surfaces,2,10.73,15.87,15.0,15.0,7.5
0,kitchen_surfaces,3,10.5,10.96,15.0,15.0,7.5
1,trash_recycling,1,46.07,17.08,45.0,15.0,45.0
1,trash_recycling,2,20.69,13.88,15.0,15.0,22.5
1,trash_recycling,3,26.32,15.35,30.0,15.0,30.0
2,vacuum_downstairs,1,14.72,16.68,15.0,15.0,15.0
2,vacuum_downstairs,2,8.82,11.22,15.0,15.0,7.5
2,vacuum_downstairs,3,9.89,14.01,15.0,15.0,7.5
3,vacuum_downstairs,1,15.59,23.75,15.0,30.0,15.0
3,vacuum_downstairs,2,9.02,14.57,15.0,15.0,7.5
3,vacuum_downstairs,3,7.54,15.34,15.0,15.0,7.5
4,kitchen_surfaces,1,16.41,11.16,15.0,15.0,15.0
4,kitchen_surfaces,2,9.54,11.58,15.0,15.0,7.5
4,kitchen_surfaces,3,8.34,9.8,15.0,15.0,7.5
5,put_away_dishes,1,31.03,15.17,30.0,15.0,30.0
5,put_away_dishes,2,18.85,14.97,15.0,15.0,22.5
5,put_away_dishes,3,12.67,11.47,15.0,15.0,15.0
6,vacuum_downstairs,1,13.66,19.7,15.0,15.0,15.0
6,vacuum_downstairs,2,8.54,16.85,15.0,15.0,7.5
6,vacuum_downstairs,3,9.37,17.76,15.0,15.0,7.5
7,clean_bathrooms,1,35.75,78.34,30.0,45.0,37.5
7,clean_bathrooms,2,18.65,58.03,15.0,45.0,15.0
7,clean_bathrooms,3,18.79,83.99,15.0,45.0,22.5
8,trash_recycling,1,37.43,19.58,30.0,15.0,37.5
8,trash_recycling,2,22.75,15.35,30.0,15.0,22.5
8,trash_recycling,3,26.32,16.27,30.0,15.0,30.0
9,put_away_dishes,1,34.08,22.63,30.0,30.0,37.5
9,put_away_dishes,2,10.7,18.09,15.0,15.0,7.5
9,put_away_dishes,3,18.19,13.62,15.0,15.0,15.0
10,kitchen_surfaces,1,23.91,10.95,30.0,15.0,22.5
10,kitchen_surfaces,2,9.72,14.12,15.0,15.0,7.5
10,kitchen_surfaces,3,11.85,16.08,15.0,15.0,15.0
11,put_away_dishes,1,29.79,20.86,30.0,15.0,30.0
11,put_away_dishes,2,14.91,17.45,15.0,15.0,15.0
11,put_away_dishes,3,14.24,18.22,15.0,15.0,15.0
12,kitchen_surfaces,1,15.74,14.89,15.0,15.0,15.0
12,kitchen_surfaces,2,8.1,10.52,15.0,15.0,7.5
12,kitchen_surfaces,3,7.65,8.98,15.0,15.0,7.5
13,put_away_dishes,1,24.59,12.39,30.0,15.0,22.5
13,put_away_dishes,2,11.68,18.79,15.0,15.0,15.0
13,put_away_dishes,3,19.22,14.57,15.0,15.0,22.5
14,clean_bathrooms,1,34.88,76.22,30.0,45.0,37.5
14,clean_bathrooms,2,13.68,61.49,15.0,45.0,15.0
14,clean_bathrooms,3,17.07,81.58,15.0,45.0,15.0
15,kitchen_surfaces,1,15.34,14.99,15.0,15.0,15.0
15,kitchen_surfaces,2,8.84,11.98,15.0,15.0,7.5
