phase,calls,seconds,share_of_timed
integrated LP: model build,1,0.3077339950004898,0.015932466904104305
integrated LP: initial solve,1,2.2186512289999882,0.11486734599385548
integrated LP: IC cutting rounds,1,12.019443203000264,0.6222886783673619
integrated LP: mechanism extraction,1,0.06662713099922257,0.003449519964665737
demand LP solves (lp_demand_vickrey_raw_coarse_wtp),1,1.0175673040002948,0.05268302383575639
demand LP solves (lp_demand_vickrey_raw_fine_wtp),1,1.4892767620003724,0.07710507486046445
exhaustive evaluation,1,0.2791109569998298,0.014450551961168899
synthetic evaluation,1,0.03900017999967531,0.002019175935040744
figures,2,1.6582133190004242,0.08585151219603529
uniform-prior evaluation,1,0.21927529199911078,0.01135264998154682
