resolution,value_levels,vickrey_price,worst_case_regret,average_welfare,transfer_bound,max_conditional_transfer
coarse,"(0.0, 15.0, 30.0, 45.0)",0.0,0.0,90.0,840.0,0.0
coarse,"(0.0, 15.0, 30.0, 45.0)",2.5,2.5e-07,89.1789669983688,840.0,0.625000187517292
coarse,"(0.0, 15.0, 30.0, 45.0)",5.0,5e-07,88.01806115523469,840.0,1.2500003675111644
coarse,"(0.0, 15.0, 30.0, 45.0)",7.5,7.5e-07,86.80928339113505,840.0,1.8750005399841996
coarse,"(0.0, 15.0, 30.0, 45.0)",10.0,1e-06,85.58464923129493,840.0,2.5000003813164264
coarse,"(0.0, 15.0, 30.0, 45.0)",12.5,1.2499999999999999e-06,84.35286738957997,840.0,3.1250007942708544
coarse,"(0.0, 15.0, 30.0, 45.0)",15.0,1.5e-06,83.11729155132501,840.0,3.750001012256502
coarse,"(0.0, 15.0, 30.0, 45.0)",17.5,2.142858892857144,81.86421205047857,840.0,5.104167361400546
coarse,"(0.0, 15.0, 30.0, 45.0)",20.0,3.750002,80.61844274552564,840.0,6.666666666666667
coarse,"(0.0, 15.0, 30.0, 45.0)",22.5,5.00000225,79.37760365643064,840.0,7.500000000000002
coarse,"(0.0, 15.0, 30.0, 45.0)",25.0,6.0000025,78.14029806655756,840.0,8.333333333333336
coarse,"(0.0, 15.0, 30.0, 45.0)",27.5,6.818184568181818,76.90567324751522,840.0,9.166666666666668
coarse,"(0.0, 15.0, 30.0, 45.0)",30.0,7.500003,75.67320805434164,840.0,10.000000000000016
coarse,"(0.0, 15.0, 30.0, 45.0)",32.5,8.076926326923077,74.44260922657524,840.0,10.833333333333332
coarse,"(0.0, 15.0, 30.0, 45.0)",35.0,8.571432071428571,73.21377048404628,840.0,11.666666666666668
coarse,"(0.0, 15.0, 30.0, 45.0)",37.5,9.00000375,71.98678303984488,840.0,12.18775530965345
coarse,"(0.0, 15.0, 30.0, 45.0)",40.0,9.375004,70.73245280019658,840.0,13.333333333333334
coarse,"(0.0, 15.0, 30.0, 45.0)",42.5,9.705886602941176,69.42968445226214,840.0,14.16666666666667
coarse,"(0.0, 15.0, 30.0, 45.0)",45.0,10.0000045,68.17219677795164,840.0,15.0
coarse,"(0.0, 15.0, 30.0, 45.0)",47.5,11.052636328947369,66.97044156025093,840.0,15.833333333333366
coarse,"(0.0, 15.0, 30.0, 45.0)",50.0,12.000005,65.80080743983476,840.0,16.66666666666658
coarse,"(0.0, 15.0, 30.0, 45.0)",52.5,12.857148107142859,64.7599081868971,840.0,17.5
fine,"(0.0, 7.5, 15.0, 22.5, 30.0, 37.5, 45.0)",0.0,0.0,90.0,840.0,0.0
fine,"(0.0, 7.5, 15.0, 22.5, 30.0, 37.5, 45.0)",2.5,2.5e-07,89.17609055908068,840.0,0.6250002327446214
fine,"(0.0, 7.5, 15.0, 22.5, 30.0, 37.5, 45.0)",5.0,5e-07,88.01111755115753,840.0,1.2500004499512596
fine,"(0.0, 7.5, 15.0, 22.5, 30.0, 37.5, 45.0)",7.5,7.5e-07,86.79810490289124,840.0,1.875000622401631
fine,"(0.0, 7.5, 15.0, 22.5, 30.0, 37.5, 45.0)",10.0,1.875001,85.56790272251835,840.0,3.055576808160695
fine,"(0.0, 7.5, 15.0, 22.5, 30.0, 37.5, 45.0)",12.5,3.00000125,84.33186291721994,840.0,4.166666666666668
fine,"(0.0, 7.5, 15.0, 22.5, 30.0, 37.5, 45.0)",15.0,3.749999999999595,83.0926865254796,840.0,5.0
fine,"(0.0, 7.5, 15.0, 22.5, 30.0, 37.5, 45.0)",17.5,4.285716035714286,81.85166823338487,840.0,5.833333333333334
fine,"(0.0, 7.5, 15.0, 22.5, 30.0, 37.5, 45.0)",20.0,4.687502,80.60660776179223,840.0,6.666666666666667
fine,"(0.0, 7.5, 15.0, 22.5, 30.0, 37.5, 45.0)",22.5,5.00000225,79.33728250160043,840.0,7.5
fine,"(0.0, 7.5, 15.0, 22.5, 30.0, 37.5, 45.0)",25.0,6.0000025,78.09812594351628,840.0,8.333333333333334
fine,"(0.0, 7.5, 15.0, 22.5, 30.0, 37.5, 45.0)",27.5,6.818184568181818,76.85546100512538,840.0,9.166666666666668
fine,"(0.0, 7.5, 15.0, 22.5, 30.0, 37.5, 45.0)",30.0,7.500003,75.61271934803673,840.0,10.000000000000002
fine,"(0.0, 7.5, 15.0, 22.5, 30.0, 37.5, 45.0)",32.5,8.076926326923077,74.35058468617697,840.0,10.833333333333336
fine,"(0.0, 7.5, 15.0, 22.5, 30.0, 37.5, 45.0)",35.0,8.571432071428571,73.0841365140872,840.0,12.752245244195402
fine,"(0.0, 7.5, 15.0, 22.5, 30.0, 37.5, 45.0)",37.5,9.00000375,71.83062743372213,840.0,12.499999999999998
fine,"(0.0, 7.5, 15.0, 22.5, 30.0, 37.5, 45.0)",40.0,9.843754,70.59410533262569,840.0,13.333333333333332
fine,"(0.0, 7.5, 15.0, 22.5, 30.0, 37.5, 45.0)",42.5,10.588239544117647,69.35289239111246,840.0,14.166666666666666
fine,"(0.0, 7.5, 15.0, 22.5, 30.0, 37.5, 45.0)",45.0,11.2500045,68.108770971177,840.0,16.92419937041879
fine,"(0.0, 7.5, 15.0, 22.5, 30.0, 37.5, 45.0)",47.5,11.842110013157896,66.88026696873152,840.0,19.57569181600954
fine,"(0.0, 7.5, 15.0, 22.5, 30.0, 37.5, 45.0)",50.0,12.375004999999998,65.67752344292681,840.0,22.846328212477957
fine,"(0.0, 7.5, 15.0, 22.5, 30.0, 37.5, 45.0)",52.5,12.857148107142859,64.57754299233949,840.0,22.085280168868582
